Date,Model,Actual,Predicted,Probability
2022-01-12,Logistic Regression,0,1,0.5015664710233126
2022-01-14,Logistic Regression,0,0,0.36417011503516544
2022-01-15,Logistic Regression,1,1,0.5720998758373288
2022-01-15,Logistic Regression,1,0,0.3327499935670517
2022-01-15,Logistic Regression,0,0,0.27494830029727935
2022-01-15,Logistic Regression,0,0,0.49175146913624745
2022-01-15,Logistic Regression,1,0,0.36988046920460604
2022-01-16,Logistic Regression,1,1,0.6597202902506656
2022-01-16,Logistic Regression,1,1,0.6526199039767924
2022-01-18,Logistic Regression,0,1,0.5599995169219396
2022-01-19,Logistic Regression,1,1,0.877115160767948
2022-01-19,Logistic Regression,1,0,0.49965435974860856
2022-01-21,Logistic Regression,1,1,0.6463827747623889
2022-01-22,Logistic Regression,0,1,0.6222925999286548
2022-01-22,Logistic Regression,0,0,0.29160103746128585
2022-01-22,Logistic Regression,0,0,0.4849370512432701
2022-01-22,Logistic Regression,0,0,0.35368701480690884
2022-01-22,Logistic Regression,1,0,0.45552531114202294
2022-01-23,Logistic Regression,0,0,0.3405308880399009
2022-01-23,Logistic Regression,1,0,0.4913647862097043
2022-01-23,Logistic Regression,0,1,0.7234528911263889
2022-01-23,Logistic Regression,0,0,0.3840350913229368
2022-02-05,Logistic Regression,0,0,0.18686223177162373
2022-02-08,Logistic Regression,1,0,0.42026764833180635
